Knockout Stage,Match Date,Match Time,Home Team Id,Home Team Name,Away Team Id,Away Team Name,Home Team Score,Away Team Score,Home Team Score Margin,Away Team Score Margin
0,6/9/1986,12:00,T-34,Hungary,T-28,France,0,3,-3,3
0,6/9/1986,12:00,T-70,Soviet Union,T-12,Canada,2,0,2,-2
0,6/10/1986,12:00,T-03,Argentina,T-10,Bulgaria,2,0,2,-2
0,6/10/1986,12:00,T-69,South Korea,T-39,Italy,2,3,-1,1
0,6/11/1986,12:00,T-37,Iraq,T-44,Mexico,0,1,-1,1
0,6/11/1986,12:00,T-53,Paraguay,T-06,Belgium,2,2,0,0
0,6/11/1986,16:00,T-27,England,T-55,Poland,3,0,3,-3
0,6/11/1986,16:00,T-56,Portugal,T-45,Morocco,1,3,-2,2
0,6/12/1986,12:00,T-01,Algeria,T-71,Spain,0,3,-3,3
0,6/12/1986,12:00,T-50,Northern Ireland,T-09,Brazil,0,3,-3,3
0,6/13/1986,12:00,T-21,Denmark,T-83,West Germany,2,0,2,-2
0,6/13/1986,12:00,T-62,Scotland,T-81,Uruguay,0,0,0,0
1,6/15/1986,12:00,T-44,Mexico,T-10,Bulgaria,2,0,2,-2
1,6/15/1986,16:00,T-70,Soviet Union,T-06,Belgium,3,4,-1,1
1,6/16/1986,12:00,T-09,Brazil,T-55,Poland,4,0,4,-4
1,6/16/1986,16:00,T-03,Argentina,T-81,Uruguay,1,0,1,-1
1,6/17/1986,12:00,T-39,Italy,T-28,France,0,2,-2,2
1,6/17/1986,16:00,T-45,Morocco,T-83,West Germany,0,1,-1,1
1,6/18/1986,12:00,T-27,England,T-53,Paraguay,3,0,3,-3
1,6/18/1986,16:00,T-21,Denmark,T-71,Spain,1,5,-4,4
1,6/21/1986,12:00,T-09,Brazil,T-28,France,1,1,0,0
1,6/21/1986,16:00,T-83,West Germany,T-44,Mexico,0,0,0,0
1,6/22/1986,12:00,T-03,Argentina,T-27,England,2,1,1,-1
1,6/22/1986,16:00,T-71,Spain,T-06,Belgium,1,1,0,0
1,6/25/1986,12:00,T-28,France,T-83,West Germany,0,2,-2,2
1,6/25/1986,16:00,T-03,Argentina,T-06,Belgium,2,0,2,-2
1,6/28/1986,12:00,T-06,Belgium,T-28,France,2,4,-2,2
1,6/29/1986,12:00,T-03,Argentina,T-83,West Germany,3,2,1,-1
0,6/8/1990,18:00,T-03,Argentina,T-11,Cameroon,0,1,-1,1
0,6/9/1990,17:00,T-70,Soviet Union,T-59,Romania,0,2,-2,2
0,6/9/1990,17:00,T-79,United Arab Emirates,T-15,Colombia,0,2,-2,2
0,6/9/1990,21:00,T-39,Italy,T-05,Austria,1,0,1,-1
0,6/10/1990,17:00,T-80,United States,T-20,Czechoslovakia,1,5,-4,4
0,6/10/1990,21:00,T-09,Brazil,T-72,Sweden,2,1,1,-1
0,6/10/1990,21:00,T-83,West Germany,T-84,Yugoslavia,4,1,3,-3
0,6/11/1990,17:00,T-16,Costa Rica,T-62,Scotland,1,0,1,-1
0,6/11/1990,21:00,T-27,England,T-58,Republic of Ireland,1,1,0,0
0,6/12/1990,17:00,T-06,Belgium,T-69,South Korea,2,0,2,-2
0,6/12/1990,21:00,T-46,Netherlands,T-25,Egypt,1,1,0,0
0,6/13/1990,17:00,T-81,Uruguay,T-71,Spain,0,0,0,0
0,6/13/1990,21:00,T-03,Argentina,T-70,Soviet Union,2,0,2,-2
0,6/14/1990,17:00,T-11,Cameroon,T-59,Romania,2,1,1,-1
0,6/14/1990,17:00,T-84,Yugoslavia,T-15,Colombia,1,0,1,-1
0,6/14/1990,21:00,T-39,Italy,T-80,United States,1,0,1,-1
0,6/15/1990,17:00,T-05,Austria,T-20,Czechoslovakia,0,1,-1,1
0,6/15/1990,21:00,T-83,West Germany,T-79,United Arab Emirates,5,1,4,-4
0,6/16/1990,17:00,T-09,Brazil,T-16,Costa Rica,1,0,1,-1
0,6/16/1990,21:00,T-72,Sweden,T-62,Scotland,1,2,-1,1
0,6/16/1990,21:00,T-27,England,T-46,Netherlands,0,0,0,0
0,6/17/1990,17:00,T-58,Republic of Ireland,T-25,Egypt,0,0,0,0
0,6/17/1990,21:00,T-06,Belgium,T-81,Uruguay,3,1,2,-2
0,6/17/1990,21:00,T-69,South Korea,T-71,Spain,1,3,-2,2
0,6/18/1990,21:00,T-03,Argentina,T-59,Romania,1,1,0,0
0,6/18/1990,21:00,T-11,Cameroon,T-70,Soviet Union,0,4,-4,4
0,6/19/1990,17:00,T-83,West Germany,T-15,Colombia,1,1,0,0
0,6/19/1990,17:00,T-84,Yugoslavia,T-79,United Arab Emirates,4,1,3,-3
0,6/19/1990,21:00,T-05,Austria,T-80,United States,2,1,1,-1
0,6/19/1990,21:00,T-39,Italy,T-20,Czechoslovakia,2,0,2,-2
0,6/20/1990,21:00,T-09,Brazil,T-62,Scotland,1,0,1,-1
0,6/20/1990,21:00,T-72,Sweden,T-16,Costa Rica,1,2,-1,1
0,6/21/1990,17:00,T-06,Belgium,T-71,Spain,1,2,-1,1
0,6/21/1990,17:00,T-69,South Korea,T-81,Uruguay,0,1,-1,1
0,6/21/1990,21:00,T-27,England,T-25,Egypt,1,0,1,-1
0,6/21/1990,21:00,T-58,Republic of Ireland,T-46,Netherlands,1,1,0,0
1,6/23/1990,17:00,T-11,Cameroon,T-15,Colombia,2,1,1,-1
1,6/23/1990,21:00,T-20,Czechoslovakia,T-16,Costa Rica,4,1,3,-3
1,6/24/1990,17:00,T-09,Brazil,T-03,Argentina,0,1,-1,1
1,6/24/1990,21:00,T-83,West Germany,T-46,Netherlands,2,1,1,-1
1,6/25/1990,17:00,T-58,Republic of Ireland,T-59,Romania,0,0,0,0
1,6/25/1990,21:00,T-39,Italy,T-81,Uruguay,2,0,2,-2
1,6/26/1990,17:00,T-71,Spain,T-84,Yugoslavia,1,2,-1,1
1,6/26/1990,21:00,T-27,England,T-06,Belgium,1,0,1,-1
1,6/30/1990,17:00,T-03,Argentina,T-84,Yugoslavia,0,0,0,0
1,6/30/1990,21:00,T-58,Republic of Ireland,T-39,Italy,0,1,-1,1
1,7/1/1990,17:00,T-20,Czechoslovakia,T-83,West Germany,0,1,-1,1
1,7/1/1990,21:00,T-11,Cameroon,T-27,England,2,3,-1,1
1,7/3/1990,20:00,T-03,Argentina,T-39,Italy,1,1,0,0
1,7/4/1990,20:00,T-83,West Germany,T-27,England,1,1,0,0
1,7/7/1990,20:00,T-39,Italy,T-27,England,2,1,1,-1
1,7/8/1990,20:00,T-83,West Germany,T-03,Argentina,1,0,1,-1
0,6/17/1994,14:00,T-29,Germany,T-07,Bolivia,1,0,1,-1
0,6/17/1994,18:30,T-71,Spain,T-69,South Korea,2,2,0,0
0,6/18/1994,11:30,T-80,United States,T-73,Switzerland,1,1,0,0
0,6/18/1994,16:00,T-39,Italy,T-58,Republic of Ireland,0,1,-1,1
0,6/18/1994,16:30,T-15,Colombia,T-59,Romania,1,3,-2,2
0,6/19/1994,12:30,T-06,Belgium,T-45,Morocco,1,0,1,-1
0,6/19/1994,16:00,T-51,Norway,T-44,Mexico,1,0,1,-1
0,6/19/1994,16:30,T-11,Cameroon,T-72,Sweden,2,2,0,0
0,6/20/1994,13:00,T-09,Brazil,T-60,Russia,2,0,2,-2
0,6/20/1994,19:30,T-46,Netherlands,T-61,Saudi Arabia,2,1,1,-1
0,6/21/1994,12:30,T-03,Argentina,T-31,Greece,4,0,4,-4
0,6/21/1994,15:00,T-29,Germany,T-71,Spain,1,1,0,0
0,6/21/1994,18:30,T-48,Nigeria,T-10,Bulgaria,3,0,3,-3
0,6/22/1994,16:00,T-59,Romania,T-73,Switzerland,1,4,-3,3
0,6/22/1994,16:30,T-80,United States,T-15,Colombia,2,1,1,-1
0,6/23/1994,16:00,T-39,Italy,T-51,Norway,1,0,1,-1
0,6/23/1994,19:30,T-69,South Korea,T-07,Bolivia,0,0,0,0
0,6/24/1994,12:30,T-44,Mexico,T-58,Republic of Ireland,2,1,1,-1
0,6/24/1994,13:00,T-09,Brazil,T-11,Cameroon,3,0,3,-3
0,6/24/1994,19:30,T-72,Sweden,T-60,Russia,3,1,2,-2
0,6/25/1994,12:30,T-06,Belgium,T-46,Netherlands,1,0,1,-1
0,6/25/1994,12:30,T-61,Saudi Arabia,T-45,Morocco,2,1,1,-1
0,6/25/1994,16:00,T-03,Argentina,T-48,Nigeria,2,1,1,-1
0,6/26/1994,11:30,T-10,Bulgaria,T-31,Greece,4,0,4,-4
0,6/26/1994,13:00,T-73,Switzerland,T-15,Colombia,0,2,-2,2
0,6/26/1994,13:00,T-80,United States,T-59,Romania,0,1,-1,1
0,6/27/1994,15:00,T-07,Bolivia,T-71,Spain,1,3,-2,2
0,6/27/1994,15:00,T-29,Germany,T-69,South Korea,3,2,1,-1
0,6/28/1994,12:30,T-39,Italy,T-44,Mexico,1,1,0,0
0,6/28/1994,12:30,T-58,Republic of Ireland,T-51,Norway,0,0,0,0
0,6/28/1994,13:00,T-60,Russia,T-11,Cameroon,6,1,5,-5
0,6/28/1994,16:00,T-09,Brazil,T-72,Sweden,1,1,0,0
0,6/29/1994,12:30,T-06,Belgium,T-61,Saudi Arabia,0,1,-1,1
0,6/29/1994,12:30,T-45,Morocco,T-46,Netherlands,1,2,-1,1
0,6/30/1994,18:30,T-03,Argentina,T-10,Bulgaria,0,2,-2,2
0,6/30/1994,19:30,T-31,Greece,T-48,Nigeria,0,2,-2,2
1,7/2/1994,12:00,T-29,Germany,T-06,Belgium,3,2,1,-1
1,7/2/1994,16:30,T-71,Spain,T-73,Switzerland,3,0,3,-3
1,7/3/1994,12:00,T-61,Saudi Arabia,T-72,Sweden,1,3,-2,2
1,7/3/1994,13:30,T-59,Romania,T-03,Argentina,3,2,1,-1
1,7/4/1994,12:00,T-46,Netherlands,T-58,Republic of Ireland,2,0,2,-2
1,7/4/1994,12:30,T-09,Brazil,T-80,United States,1,0,1,-1
1,7/5/1994,13:00,T-48,Nigeria,T-39,Italy,1,2,-1,1
1,7/5/1994,16:30,T-44,Mexico,T-10,Bulgaria,1,1,0,0
1,7/9/1994,12:00,T-39,Italy,T-71,Spain,2,1,1,-1
1,7/9/1994,14:30,T-46,Netherlands,T-09,Brazil,2,3,-1,1
1,7/10/1994,12:00,T-10,Bulgaria,T-29,Germany,2,1,1,-1
1,7/10/1994,12:30,T-59,Romania,T-72,Sweden,2,2,0,0
1,7/13/1994,16:00,T-10,Bulgaria,T-39,Italy,1,2,-1,1
1,7/13/1994,16:30,T-72,Sweden,T-09,Brazil,0,1,-1,1
1,7/16/1994,12:30,T-72,Sweden,T-10,Bulgaria,4,0,4,-4
1,7/17/1994,12:30,T-09,Brazil,T-39,Italy,0,0,0,0
